courseTitle,courseID,sectionID,lectureStartTime,lectureEndTime,lectureDays,labStartTime,labEndTime,labDays
CPSC 120,1,1,1000,1115,MO,1000,1245,WE
CPSC 120,1,2,1000,1115,MO,1000,1245,FR
CPSC 120,1,3,1300,1415,MO,1300,1545,WE
CPSC 120,1,4,1300,1415,MO,1300,1545,FR
CPSC 120,1,5,800,915,MO,800,1045,WE
CPSC 120,1,6,800,915,MO,800,1045,FR
CPSC 120,1,7,1730,1845,MO,1730,2015,WE
CPSC 120,1,8,1130,1245,TH,1000,1245,TU
CPSC 120,1,9,1900,2015,TU,1900,2145,TH
CPSC 120,1,10,1000,1115,TU,1000,1245,TH
CPSC 120,1,11,1300,1415,FR,1430,1715,FR
CPSC 120,1,12,1130,1245,SA,1300,1545,SA
CPSC 121,2,1,1430,1530,TU TH,1530,1730,TU
CPSC 121,2,2,1430,1530,TU TH,1530,1730,TH
CPSC 121,2,3,1130,1230,MO WE,1230,1430,MO
CPSC 121,2,4,1130,1230,MO WE,1230,1430,WE
CPSC 121,2,5,1200,1250,MO WE,1300,1500,MO
CPSC 121,2,6,900,1000,TU TH,1000,1200,TU
CPSC 131,3,1,1300,1415,TU TH,N,N,N
CPSC 131,3,2,1430,1545,TU TH,N,N,N
CPSC 131,3,3,1130,1245,TU TH,N,N,N
CPSC 131,3,4,1000,1115,MO WE,N,N,N
CPSC 131,3,5,1600,1715,MO WE,N,N,N
CPSC 131,3,6,1730,1845,MO WE,N,N,N
CPSC 131,3,7,1730,1845,TU TH,N,N,N
CPSC 131,3,8,1900,2015,MO WE,N,N,N
CPSC 223J,4,1,800,1000,TU,N,N,N
CPSC 223J,4,2,800,1000,TH,N,N,N
CPSC 223P,5,1,1600,1800,TU,1600,1800,TH
CPSC 223P,5,2,1800,2000,TU,1800,2000,TH
CPSC 240,6,1,1430,1630,TU,1430,1630,TH
CPSC 240,6,2,1130,1330,TU,1130,1330,TH
CPSC 240,6,3,1300,1500,MO,1300,1500,WE
CPSC 240,6,4,800,1000,MO,800,1000,WE
CPSC 301,7,1,1000,1300,MO WE,N,N,N
CPSC 311,8,1,1130,1245,MO WE,1300,1415,TU TH
CPSC 311,8,2,1730,1845,TU TH,1600,1715,MO WE
CPSC 323,9,1,1300,1415,MO WE,N,N,N
CPSC 323,9,2,1130,1245,MO WE,N,N,N
CPSC 323,9,3,1300,1415,TU TH,N,N,N
CPSC 323,9,4,1900,2145,TH,N,N,N
CPSC 323,9,5,1600,1715,TU TH,N,N,N
CPSC 332,10,1,1430,1545,MO WE,N,N,N
CPSC 332,10,2,1900,2145,WE,N,N,N
CPSC 332,10,3,1730,1845,MO WE,N,N,N
CPSC 332,10,4,1130,1245,TU TH,N,N,N
CPSC 332,10,5,1730,1845,TU TH,N,N,N
CPSC 335,11,1,1430,1545,MO WE,N,N,N
CPSC 335,11,2,1600,1715,MO WE,N,N,N
CPSC 335,11,3,1900,2145,MO,N,N,N
CPSC 335,11,4,1300,1415,TU TH,N,N,N
CPSC 335,11,5,1600,1715,TU TH,N,N,N
CPSC 349,12,1,1900,2145,TU,N,N,N
CPSC 349,12,2,1300,1545,FR,N,N,N
CPSC 351,13,1,1300,1415,TU TH,N,N,N
CPSC 351,13,2,1430,1545,TU TH,N,N,N
CPSC 351,13,3,1600,1715,TU TH,N,N,N
CPSC 351,13,4,1900,2145,TU,N,N,N
CPSC 351,13,5,1900,2145,WO,N,N,N
CPSC 351,13,6,1900,2145,TH,N,N,N
CPSC 353,14,1,1900,2145,MO,N,N,N
CPSC 353,14,2,1300,1545,FR,N,N,N
CPSC 353,14,3,1900,2145,TH,N,N,N
CPSC 353,14,4,1900,2145,TU,N,N,N
CPSC 362,15,1,1100,1300,MO WE,N,N,N
CPSC 362,15,2,1500,1700,MO WE,N,N,N
CPSC 362,15,3,2000,2200,TU TH,N,N,N
