CPSC 120,1,1,1000,1115,M,1000,1245,W
CPSC 120,1,2,1000,1115,M,1000,1245,F
CPSC 120,1,3,1300,1415,M,1300,1545,W
CPSC 120,1,4,1300,1415,M,1300,1545,F
CPSC 120,1,5,800,915,M,800,1045,W
CPSC 120,1,6,800,915,M,800,1045,F
CPSC 120,1,7,1730,1845,M,1730,2015,W
CPSC 120,1,8,1130,1245,TH,1000,1245,TU
CPSC 120,1,9,1900,2015,TU,1900,2145,TH
CPSC 120,1,10,1000,1115,TU,1000,1245,TH
CPSC 120,1,11,1300,1415,F,1430,1715,F
CPSC 120,1,12,1130,1245,SA,1300,1545,SA
CPSC 121,2,1,1430,1530,TU TH,1530,1730,TU
CPSC 121,2,2,1430,1530,TU TH,1530,1730,TH
CPSC 121,2,3,1130,1230,M W,1230,1430,M
CPSC 121,2,4,1130,1230,M W,1230,1430,W
CPSC 121,2,5,1200,1250,M W,1300,1500,M
CPSC 121,2,6,900,1000,TU TH,1000,1200,TU
CPSC 131,3,1,1300,1415,TU TH,N,N,N
CPSC 131,3,2,1430,1545,TU TH,N,N,N
CPSC 131,3,3,1130,1245,TU TH,N,N,N
CPSC 131,3,4,1000,1115,M W,N,N,N
CPSC 131,3,5,1600,1715,M W,N,N,N
CPSC 131,3,6,1730,1845,M W,N,N,N
CPSC 131,3,7,1730,1845,TU TH,N,N,N
CPSC 131,3,8,1900,2015,M W,N,N,N
CPSC 223J,4,1,800,1000,TU,N,N,N
CPSC 223J,4,2,800,1000,TH,N,N,N
CPSC 223P,5,1,1600,1800,TU,1600,1800,TH
CPSC 223P,5,2,1800,2000,TU,1800,2000,TH
CPSC 240,6,1,1430,1630,TU,1430,1630,TH
CPSC 240,6,2,1130,1330,TU,1130,1330,TH
CPSC 240,6,3,1300,1500,M,1300,1500,W
CPSC 240,6,4,800,1000,M,800,1000,W
CPSC 301,7,1,1000,1300,M W,N,N,N
CPSC 311,8,1,1130,1245,M W,1300,1415,TU TH
CPSC 311,8,2,1730,1845,TU TH,1600,1715,M W
CPSC 323,9,1,1300,1415,M W,N,N,N
CPSC 323,9,2,1130,1245,M W,N,N,N
CPSC 323,9,3,1300,1415,TU TH,N,N,N
CPSC 323,9,4,1900,2145,TH,N,N,N
CPSC 323,9,5,1600,1715,TU TH,N,N,N
CPSC 332,10,1,1430,1545,M W,N,N,N
CPSC 332,10,2,1900,2145,W,N,N,N
CPSC 332,10,3,1730,1845,M W,N,N,N
CPSC 332,10,4,1130,1245,TU TH,N,N,N
CPSC 332,10,5,1730,1845,TU TH,N,N,N
CPSC 335,11,1,1430,1545,M W,N,N,N
CPSC 335,11,2,1600,1715,M W,N,N,N
CPSC 335,11,3,1900,2145,M,N,N,N
CPSC 335,11,4,1300,1415,TU TH,N,N,N
CPSC 335,11,5,1600,1715,TU TH,N,N,N
CPSC 349,12,1,1900,2145,TU,N,N,N
CPSC 349,12,2,1300,1545,F,N,N,N
CPSC 351,13,1,1300,1415,TU TH,N,N,N
CPSC 351,13,2,1430,1545,TU TH,N,N,N
CPSC 351,13,3,1600,1715,TU TH,N,N,N
CPSC 351,13,4,1900,2145,TU,N,N,N
CPSC 351,13,5,1900,2145,W,N,N,N
CPSC 351,13,6,1900,2145,TH,N,N,N
CPSC 353,14,1,1900,2145,M,N,N,N
CPSC 353,14,2,1300,1545,F,N,N,N
CPSC 353,14,3,1900,2145,TH,N,N,N
CPSC 353,14,4,1900,2145,TU,N,N,N
CPSC 362,15,1,1100,1300,M W,N,N,N
CPSC 362,15,2,1500,1700,M W,N,N,N
CPSC 362,15,3,2000,2200,TU TH,N,N,N
CPSC 362,15,4,900,1300,SA,N,N,N
CPSC 375,16,1,1730,1845,TU TH,N,N,N
CPSC 386,17,1,1730,1845,M W,N,N,N
CPSC 411,18,1,1600,1715,TU TH,N,N,N
CPSC 411,18,2,1730,1845,TU TH,N,N,N
CPSC 440,19,1,830,945,TU TH,N,N,N
CPSC 440,19,2,1130,1245,TU TH,N,N,N
CPSC 440,19,3,1900,2145,M,N,N,N
CPSC 440,19,4,1730,1845,M W,N,N,N
CPSC 449,20,1,1900,2145,W,N,N,N
CPSC 449,20,2,1000,1245,F,N,N,N
BIOL 101,21,1,1000,1100,M W F,N,N,N
BIOL 101,21,2,1100,1200,M W F,N,N,N
BIOL 101,21,3,830,945,M W,N,N,N
BIOL 101,21,4,1300,1415,M W,N,N,N
BIOL 101,21,5,1430,1545,M W,N,N,N
BIOL 101,21,6,1600,1715,M W,N,N,N
BIOL 101,21,7,830,945,TU TH,N,N,N
BIOL 101,21,8,1000,1115,TU TH,N,N,N
BIOL 101,21,9,1130,1245,TU TH,N,N,N
BIOL 101,21,10,1300,1415,TU TH,N,N,N
BIOL 101,21,11,1430,1545,TU TH,N,N,N
BIOL 101,21,12,1600,1715,TU TH,N,N,N
BIOL 101L,22,1,830,945,TU,N,N,N
BIOL 101L,22,2,1100,1315,TU,N,N,N
BIOL 101L,22,3,11330,1545,TU,N,N,N
BIOL 101L,22,4,1600,1815,TU,N,N,N
BIOL 101L,22,5,1830,2045,TU,N,N,N
BIOL 101L,22,6,830,1045,W,N,N,N
BIOL 101L,22,7,1100,1315,W,N,N,N
BIOL 101L,22,8,1330,1545,W,N,N,N
BIOL 101L,22,9,1600,1815,W,N,N,N
BIOL 101L,22,10,1830,2045,W,N,N,N
BIOL 101L,22,11,830,1045,TH,N,N,N
BIOL 101L,22,12,1100,1315,TH,N,N,N
BIOL 101L,22,13,1330,1545,TH,N,N,N
BIOL 101L,22,14,1600,1815,TH,N,N,N
BIOL 101L,22,15,830,1045,F,N,N,N
BIOL 101L,22,16,830,1045,F,N,N,N
BIOL 101L,22,17,1100,1315,F,N,N,N
BIOL 101L,22,18,1100,1315,F,N,N,N
BIOL 151,23,1,1200,1300,M W F,1130,1430,TU
BIOL 151,23,2,1200,1300,M W F,1430,1730,TU
BIOL 151,23,3,1200,1300,M W F,900,1200,W
BIOL 151,23,4,1200,1300,M W F,830,1130,TH
BIOL 151,23,5,1200,1300,M W F,1130,1400,TH
BIOL 151,23,6,1200,1300,M W F,1430,1730,TH
BIOL 151,23,7,1200,1300,M W F,900,1200,F
BIOL 151,23,8,1200,1300,M W F,900,1200,F
BIOL 151,23,9,1430,1545,M W,830,1130,TU
BIOL 151,23,10,1430,1545,M W,1130,1430,TU
BIOL 151,23,11,1430,1545,M W,1430,1730,TU
